,Title,Published_date,Views,Likes,Comments,Month
34,How To Become A Man That Commands Respect,2023-01-04,261361,19645,808,Jan
35,How To Look Confident If You’re Awkward,2023-01-03,345822,28896,1017,Jan
36,Why Men Are More Feminine Than EVER,2023-01-02,371311,28593,3188,Jan
37,Why Men Should NOT Show Emotion,2023-01-01,403126,33620,3274,Jan
38,How I Tricked My Brain To Like Doing Hard Things,2022-12-31,380150,28373,771,Dec
39,How To Fix Your Sleep Schedule (PROVEN Step-By-Step Guide),2022-12-30,494045,31436,1701,Dec
40,5 BIGGEST Reasons You Can’t Gain Muscle,2022-12-29,434687,31397,3652,Dec
41,THIS IS THE KEY TO FLIRTING WITH ANY GIRL,2022-12-28,557370,41492,1263,Dec
42,The 1 Trait That Separates Masculine Men From The Rest,2022-12-27,245764,18733,1019,Dec
43,Girls Ignore You? Listen To THIS!,2022-12-26,328062,24687,879,Dec
44,3 Ways to INSTANTLY Improve Your Looks - How to Become More Attractive,2022-12-25,907723,56072,1988,Dec
45,3 Common Mistakes That Destroy Your Dating Life,2022-12-24,276700,18943,796,Dec
46,7 Everyday Things DESTROYING Your Testosterone Levels!,2022-12-23,1005534,52419,1943,Dec
47,How HIGH Value MEN Deal With REJECTION,2022-12-22,213167,15740,722,Dec
48,How Long Does It Take To Get Jacked,2022-12-21,726798,40295,2257,Dec
49,8 Things Destroying Men’s Mental Health,2022-12-20,427894,28480,1731,Dec
50,8 Powerful Habits That Increase Your Masculine Energy,2022-12-18,724542,48336,2514,Dec
51,Meeting my fans IRL,2022-12-17,497174,28049,2096,Dec
52,3 SECRETS to AVOID DRY Text Conversations,2022-12-16,895635,63275,1830,Dec
53,7 Ways To Stop Giving A F,2022-12-15,570636,38424,1424,Dec
54,The Indian men in the bus,2022-12-15,920457,79651,1761,Dec
55,9 Books Every Aspiring Millionaire Must Read,2022-12-14,213814,16519,924,Dec
56,3 Proven Ways To Increase Your Testosterone Naturally,2022-12-13,576745,39612,2904,Dec
57,Don’t Settle For Unsupportive Women,2022-12-12,168852,12529,1007,Dec
58,Fight,2022-12-12,82248,2293,259,Dec
59,5 Dangerous Habits That Will Mentally Destroy You,2022-12-10,772894,55231,2522,Dec
60,15 Ways To INSTANTLY Be More Confident | How To Be Confident,2022-12-09,389843,28757,956,Dec
61,3 EASY TRICKS To Make First Dates Less AWKWARD,2022-12-08,271525,18380,738,Dec
62,How To Achieve 10x More Than Your Peers,2022-12-07,253987,19609,767,Dec
63,7 Skills That Will Make You RICH,2022-12-06,224496,17405,759,Dec
64,90% Of Men Are Lonely. What Are The Consequences?,2022-12-05,466290,32183,4177,Dec
65,Why I’ve Started Reading The Quran,2022-12-04,591049,56095,12293,Dec
66,help us record videos rn,2022-12-04,61693,2917,165,Dec
67,Why Most People Will Remain in Mediocrity,2022-12-03,198045,15234,585,Dec
68,Atomic Habits Book Summary,2022-12-02,184399,13245,934,Dec
69,23 Life Lessons for Teenagers,2022-12-01,850699,61227,2047,Dec
70,The 4 Main Habits Of Rich People,2022-11-30,203420,16150,698,Nov
71,How They Keep You POOR! (Watch This To Become A MILLIONAIRE In 2023),2022-11-29,300904,23878,1327,Nov
72,12 Rules For Life by Jordan Peterson Explained Fully,2022-11-28,434448,28494,1176,Nov
73,4 Ways To Escape The Friend Zone,2022-11-27,333769,23363,942,Nov
74,How To Find Love & BUILD SEXUAL DESIRE In A Relationship,2022-11-26,323551,22960,793,Nov
75,BEST Workout & Diet ADVICE for DATING | How to Build Muscle & Lose Fat FAST,2022-11-25,321559,21612,606,Nov
76,How To Invest Your Money In Your 20’s,2022-11-24,227094,20699,1188,Nov
77,6 Bad Habits Keeping Men Weak,2022-11-23,1170023,59600,2720,Nov
78,3 Bad Habits That Make You Creepy,2022-11-22,755396,46560,2121,Nov
79,10 Signs She's NOT Into You,2022-11-21,833754,49614,1725,Nov
80,help us record videos rn,2022-11-21,66446,2827,66,Nov
81,How To Instantly Create Attraction With Women,2022-11-20,409670,29538,1119,Nov
82,TikTok Is Worse Than You Thought,2022-11-19,1169617,95945,7135,Nov
83,How To Become A Top 10% Man Who Gets Girls,2022-11-18,282202,20119,701,Nov
84,"Smartest Path To $10,000/Month In 2023",2022-11-17,600373,45957,1308,Nov
85,Make Her DESIRE YOU! - Easy Ways To Become More ATTRACTIVE TODAY,2022-11-16,696286,43564,696,Nov
86,help us record videos rn,2022-11-16,84105,4488,151,Nov
87,3 Morning Routine Habits Of Successful People,2022-11-15,192555,17773,650,Nov
88,5 Hidden Signs She Likes You,2022-11-14,692656,46723,1406,Nov
89,watch me record vids,2022-11-14,119302,7731,212,Nov
90,The MOST Seductive Trait In The World,2022-11-13,414566,25353,1621,Nov
91,Dopamine detox changed my life forever.,2022-11-12,563048,33696,1771,Nov
92,“I was going to end my life”,2022-11-12,515643,53266,532,Nov
93,How to Improve Yourself Right NOW (And Why),2022-11-11,796500,67445,2647,Nov
94,4 Personality Traits To Make Any Woman Obsessed With You,2022-11-10,472775,31488,1308,Nov
95,Why The People Of NoFap Become Successful,2022-11-09,590602,43219,1687,Nov
96,The 9 RED FLAGS When Dating You Should NEVER IGNORE!,2022-11-08,685690,47201,2168,Nov
97,£5000 contest winner,2022-11-07,72574,3830,142,Nov
98,6 Reasons Girls Think YOU Are UNATTRACTIVE,2022-11-06,1125986,65566,1617,Nov
99,WHAT DO MASCULINE MEN FOCUS ON?,2022-11-05,305393,13479,298,Nov
100,You’ve gotten complacent bro,2022-11-04,241699,17616,918,Nov
101,How To Stand Up For Yourself Without Being A Jerk,2022-11-03,414961,34166,841,Nov
102,3 Habits That Will Change Your Life,2022-10-31,253450,19589,800,Oct
103,BECOME THE STRONG MAN THEY NEED / TESTOSTERONE IS AT ALL TIME LOW,2022-10-30,294214,18330,611,Oct
104,7 Reasons People Dislike You Immediately,2022-10-29,831381,60656,1769,Oct
105,PSYCHOLOGICAL SECRETS OF ATTRACTION,2022-10-28,369546,28184,650,Oct
106,This is how Andrew Tate got rich (Unscripted by MJ Demarco),2022-10-27,932213,54612,2030,Oct
107,How to Easily Overcome Social Anxiety,2022-10-26,289039,24474,705,Oct
108,10 Years On YouTube.,2022-10-25,166228,15688,701,Oct
109,1 Million Subscribers,2022-10-24,246825,38214,3081,Oct
110,Full Masculinity Guide: Become A Man,2022-10-23,1576599,99896,5682,Oct
111,5 LIFE HACKS That Will MOTIVATE You To Do ANYTHING,2022-10-20,531772,49273,1393,Oct
112,HOW TO STOP BEING A NICE GUY,2022-10-17,1187316,84041,1720,Oct
113,WOMEN DON'T CARE ABOUT YOUR BODY?,2022-10-15,357692,21936,1838,Oct
114,Going Through A Breakup - What To Do,2022-10-13,210459,17633,1261,Oct
115,How Girls REALLY Want You To Talk To Them,2022-10-10,1643050,119872,2702,Oct
116,3 Years,2022-10-08,238731,22388,640,Oct
117,How to Win Friends and Influence People (EVERY PRINCIPLE),2022-10-06,473645,27294,640,Oct
118,How To Stop Procrastinating & Get Work Done - Deep Work by Cal Newport,2022-10-04,355606,22067,562,Oct
119,SAME JOB FOR THE REST OF YOUR LIFE?,2022-09-30,161895,12011,499,Sep
120,How To Take Back Control Over Your Life (Dopamine Detox Guide),2022-09-28,373134,24392,880,Sep
121,Full Social Skills Guide: How To Make Friends Online,2022-09-24,499517,30366,1307,Sep
122,This Is What Happens When You Go On Instagram,2022-09-21,263898,21125,928,Sep
123,WHEN WERE YOU LAST DEPRESSED?,2022-09-19,188950,13948,676,Sep
124,Hamza’s brutal kick compilation,2022-09-16,286353,11026,1235,Sep
125,Hamza 10 Minute Meditation Breathing Exercise (Follow every morning/night for mental health),2022-09-14,895005,32507,2154,Sep
126,Full Mental Health Guide For Men (This should be your priority right now),2022-09-14,1262165,64672,5445,Sep
127,WE DON'T NEED MEN,2022-09-09,291980,23083,1039,Sep
128,7 Habits That Will Fix Your Life,2022-09-06,1151379,84858,1752,Sep
129,How Many Subscribers Go To This Gym??,2022-09-05,129290,9428,435,Sep
130,Evil Strategies TikTok Uses To Keep You Hooked,2022-09-04,215989,19260,1069,Sep
131,NOBODY CARES ABOUT YOUR MUSCLES,2022-09-03,890987,45361,1353,Sep
132,Parents Really Give Their Children iPads To Play With…,2022-09-02,166613,15329,1079,Sep
133,Boys Without Father Figures,2022-09-01,146344,11327,1028,Sep
134,nature makes us happy,2022-08-31,317607,21280,1954,Aug
135,How To Grow A Beard,2022-08-30,305893,19521,1295,Aug
136,HOW TO MAKE OTHER MEN RESPECT YOU,2022-08-29,239331,17898,913,Aug
137,Hamza VS Sneako beef...,2022-08-28,248270,14610,644,Aug
138,"""I Started NoFap When I Was 13""",2022-08-28,426107,28095,2279,Aug
139,What Was Your Life Like Before Self-Improvement?,2022-08-28,54270,3444,252,Aug
140,YOU HAVE UNTAPPED POTENTIAL,2022-08-27,133454,12570,568,Aug
141,You Should Have A Say In Our Movement,2022-08-25,63545,5313,582,Aug
142,"My opinion on Andrew Tate, Sneako",2022-08-25,259199,14161,1155,Aug
143,"helping a homeless woman, starting an online business as a 17 year old (coaching livestream)",2022-08-24,99871,5464,160,Aug
144,Social Media Is Making Everyone Lonely,2022-08-23,236777,18958,853,Aug
145,losing a best friend,2022-08-22,268242,19722,1504,Aug
146,self improvement coaching,2022-08-21,163036,10010,291,Aug
147,WE’RE ALL GONNA MAKE IT #zyzz,2022-08-20,154733,13694,607,Aug
148,I’m Scared Before Every Fight,2022-08-19,277325,21319,919,Aug
149,Strong Men Will Be Needed Soon,2022-08-18,184555,14415,1475,Aug
150,Tinder Is Brutally Annihilating Men’s Mental Health,2022-08-17,332612,20837,2075,Aug
151,Life Advice for Young Men,2022-08-16,247255,20795,1433,Aug
152,"when you both delete social media, have good mental health, eat clean, exercise, meditate & do yoga",2022-08-15,1025159,73277,4715,Aug
153,Women Are Clueless To Male Loneliness,2022-08-14,427068,31824,2543,Aug
154,QUIT SOCIAL MEDIA,2022-08-13,272329,25786,1145,Aug
155,Every Man's GREATEST Weakness,2022-08-12,840263,73095,2272,Aug
156,Why You’re In The Bottom 80% Of Men,2022-08-11,268209,20478,1309,Aug
157,6 Ways To Become The Top 10% of Men,2022-08-10,379801,30085,1191,Aug
158,They will try to get me killed,2022-08-09,210248,23626,3758,Aug
159,How to Meet More Women,2022-08-08,468202,38387,1473,Aug
160,This is our generations war.,2022-08-07,166212,14725,1617,Aug
161,LIFE IS WAR,2022-08-06,258123,22550,1132,Aug
162,Women watching porn is a problem,2022-08-05,189817,14638,1487,Aug
163,you’re worth more than social media makes you feel.,2022-08-04,152643,13397,1171,Aug
164,My 6AM Morning Routine For Self-Improvement,2022-08-03,843835,62505,1402,Aug
165,Stop Letting Other Men Pipe Your Wife,2022-08-02,344422,28623,3043,Aug
166,Emotional men are weak,2022-08-01,238961,21669,1217,Aug
167,I am banned on Instagram,2022-07-31,261145,23270,2806,Jul
168,LIFE IS TOO SHORT TO EXERCISE,2022-07-30,273366,25106,1017,Jul
169,Women Are More Disciplined Than Men These Days,2022-07-29,210213,18212,1214,Jul
170,Who Should Pay On A Date,2022-07-28,126586,10962,1143,Jul
171,Delete TikTok now,2022-07-27,490232,36225,3803,Jul
172,Are You Masculine Or Not? The Fastest Way To Tell If You’re Masculine,2022-07-26,316598,26937,1321,Jul
173,The BEST Green Flag In a Girl,2022-07-25,384046,34505,1169,Jul
174,My Generation Of Men Are Weak,2022-07-24,347637,28159,2287,Jul
175,TOXIC MASCULINITY,2022-07-23,366390,30504,1269,Jul
176,Nerds Are Now Alpha Males,2022-07-22,687321,48094,2823,Jul
177,What The Best Men Really Look Like,2022-07-21,254699,19616,748,Jul
178,I Need Your Help,2022-07-20,132139,13277,709,Jul
179,How To Not Waste Your 20s,2022-07-19,502942,40520,2848,Jul
180,Instagram banned me for this video,2022-07-18,354752,25750,3238,Jul
181,5 Skills All Young Men Should Learn,2022-07-17,401768,29688,1184,Jul
182,Don't Know What To Do With Your Life? Watch This (It’s Simple...),2022-07-16,178945,16016,697,Jul
183,How to Achieve Freedom Like A Top 1% Man,2022-07-15,226524,19766,1001,Jul
184,How to Look More Masculine,2022-07-14,236117,19114,793,Jul
185,The Secret To Stopping Procrastination,2022-07-13,111923,10375,377,Jul
186,How To Mew Properly,2022-07-12,862057,53429,1845,Jul
187,The Best NoFap Benefit,2022-07-11,973241,61559,1725,Jul
188,Align 100% Of Your Life To Your Purpose,2022-07-10,149443,12933,474,Jul
189,Never Apologize For Being A Man,2022-07-09,155622,12218,712,Jul
190,"""They Want To Keep You Poor!""",2022-07-08,129310,11489,666,Jul
191,Full Looksmaxing Guide: How To Be An Attractive Young Man,2022-07-07,1126533,68093,2086,Jul
192,"""I Got RICH When I Started DOING THIS!"" (Copy These Habits)",2022-07-06,93576,7254,393,Jul
193,How Overstimulation Ruins Your Life,2022-07-05,282953,23881,693,Jul
194,How I Increased My Testosterone,2022-07-04,961238,71451,2481,Jul
195,Looks Are More Important Than Ever,2022-07-03,174575,14042,1006,Jul
196,No One Will Respect You,2022-07-02,150459,10901,494,Jul
197,Western Women,2022-07-01,354239,19225,1679,Jul
198,How To Embrace Your Flaws,2022-06-30,111068,9646,702,Jun
199,PROTEIN POWDER IS NOT STEROIDS MOM,2022-06-29,78442,8303,751,Jun
200,Do Not Allow Your Brothers To Stay Weak,2022-06-28,117334,11088,515,Jun
201,The Way Of The Superior Man Full Book Guide,2022-06-27,388413,21612,674,Jun
202,Let's Talk About Women,2022-06-26,214876,13476,1001,Jun
203,How To Make Friends With High Value Men,2022-06-25,114200,8955,385,Jun
204,You Should Be More Cut Throat,2022-06-24,142957,11296,279,Jun
205,You Are The Most Submissive Man In Your Entire Bloodline,2022-06-23,217860,19693,1164,Jun
206,How Do I Start Self-Improvement Again,2022-06-22,172210,16060,704,Jun
207,Ambition Is Not Cringe,2022-06-22,94172,8792,460,Jun
208,Are You Ready For The Hard Times?,2022-06-21,137385,12762,658,Jun
209,You’re Dehydrated Whilst Reading This,2022-06-21,91763,8552,668,Jun
210,I Hope You Find Peace In Your Life,2022-06-20,82775,8020,343,Jun
211,"""THIS IS Why Most People Are LAZY & UNMOTIVATED IN LIFE!""",2022-06-20,93094,9164,697,Jun
212,How I Fixed Gynecomastia Without Surgery,2022-06-19,284457,14858,942,Jun
213,3 AWFUL Habits That Can Ruin Your Life,2022-06-18,71947,5817,336,Jun
214,How the comfort zone is ruining your life,2022-06-17,115822,9466,400,Jun
215,"Reacting to 1STMAN - Men, Work Now, Avoid Regret",2022-06-16,89611,6538,468,Jun
216,How to Meditate in Plain English,2022-06-15,231006,22273,823,Jun
217,"""This Is Why You FEEL LOST & UNHAPPY In Life"" - Fix This TODAY!",2022-06-14,99854,9278,372,Jun
218,Nobody Knows It's Men's Mental Health Month,2022-06-13,145836,13250,1178,Jun
219,Take Big Risks When You’re Young,2022-06-12,189553,16839,550,Jun
220,Why You're Lazy,2022-06-11,400764,30991,1005,Jun
221,I’m So Proud Of You,2022-06-10,109772,11925,484,Jun
222,What If Daddy Didn't Play With You,2022-06-09,105032,8839,656,Jun
223,Breathe Like A King,2022-06-08,219484,17919,781,Jun
224,How To Get Physical With A Woman You Just Met,2022-06-08,325851,22541,718,Jun
225,Don’t Be Friends With Rude People,2022-06-07,150002,12512,440,Jun
226,I Feel Bad For Students,2022-06-07,213521,17622,1551,Jun
227,You Will Never Be ‘Big Enough’,2022-06-06,89990,8194,464,Jun
228,Why I Don't Take Sponsorships,2022-06-06,67716,8470,553,Jun
229,Don't End Up Like Hamza,2022-06-05,205643,16836,1187,Jun
230,Stick Or Twist: The Only Philosophy You Need,2022-06-05,144351,13052,631,Jun
231,How To Stop Being A Doomer,2022-06-04,135079,11374,606,Jun
232,Self-Improvement Made My Life Worse,2022-06-04,444872,31121,1515,Jun
233,The World Is A Lot More Positive Than The Internet Makes You Think,2022-06-03,134527,13461,716,Jun
234,How To Get A Trad Wife,2022-06-03,133250,11789,1189,Jun
235,How To Be Less Feminine,2022-06-02,616664,49193,1969,Jun
236,Never Get Complacent,2022-06-02,235892,19883,969,Jun
237,"500,000 in July 2022",2022-06-02,62240,9113,1170,Jun
238,How To Make Your Voice More Attractive,2022-06-01,543277,42955,1342,Jun
239,Nobody Remembers The Cringy Things You Did,2022-06-01,130037,13073,652,Jun
240,Nobody Cares That You're A Virgin Bro,2022-05-31,149321,12581,1092,May
241,Don’t Listen To Alpha Males. Appreciate Your Girlfriend.,2022-05-31,247345,22280,1432,May
242,Don't End Up Like Sneako,2022-05-30,2100714,163503,7703,May
243,Why I Quit Playing Runescape,2022-05-30,98149,8184,480,May
244,Why You Can't Do Your Work,2022-05-29,184144,18822,561,May
245,Why Partying Is Overrated,2022-05-29,251800,20988,983,May
246,My 2 Year Self Improvement Journey,2022-05-28,133931,15121,875,May
247,This Is How You Join The Top 1%,2022-05-28,370858,30379,730,May
248,"""EVERYTHING You Think You Know About Yourself Is WRONG!""",2022-05-27,88111,9358,951,May
249,Politics Wants You To Be Depressed,2022-05-27,88455,9826,846,May
250,I Don't Want Any More Young Men To Kill Themselves,2022-05-26,115098,12076,761,May
251,How To Be More Masculine,2022-05-25,275277,24424,1048,May
252,Why Women Think You're Weird,2022-05-24,502225,34656,1335,May
253,I Thought My Girlfriend Was Cheating,2022-05-23,190993,17837,807,May
254,How To Get Girls If You're Short,2022-05-22,168819,15848,1809,May
255,MrBeast’s Secret To Success,2022-05-21,93115,9477,327,May
256,Why You Should Quit League Of Legends,2022-05-20,197453,16364,1039,May
257,I Had A Crush On A Girl For Months And Didn't Say Anything,2022-05-19,261757,22457,984,May
258,A Realistic Morning Routine You Can Try,2022-05-18,2210703,164799,2915,May
259,Reacting to Cringy Dating Advice,2022-05-17,381546,30643,793,May
260,Why It’s Important To Set Goals Right NOW,2022-05-16,180217,15939,687,May
261,Why Video Games Aren’t Fun Anymore,2022-05-15,288193,23367,1165,May
262,5 Habits That WILL Make You Rich,2022-05-14,165719,17811,690,May
263,Video Games Are A Fantastic Way To Cope With Being A Loser IRL,2022-05-13,176848,13879,1528,May
264,I Chose The Wrong Girl. This Is What Happened.,2022-05-12,252101,20441,736,May
265,9 Green Flags Every Girl Wants In A Guy,2022-05-11,632715,44191,1179,May
266,Why I Quit Playing Minecraft,2022-05-10,393812,33106,1369,May
267,Why You Don't Like Being You,2022-05-09,175989,17660,615,May
268,DO THIS Every Morning To Destroy LAZINESS & PROCRASTINATION Today!,2022-05-08,179317,18031,692,May
269,It’s Time To Get In Shape,2022-05-07,408803,31749,1119,May
270,Why You Should Start Your Self Improvement YouTube Channel,2022-05-06,94331,9605,404,May
271,Build A Body That Makes You Proud,2022-05-05,144748,14585,558,May
272,Your Growth Should Be Your Top Priority,2022-05-04,169089,17219,592,May
273,The Best Women Will Ruthlessly Test You,2022-05-03,233452,24011,1469,May
274,We Are The First Generation Of Men With No Purpose,2022-05-02,424752,41240,1701,May
275,Women Think 80% Of Men Are Ugly,2022-05-01,382690,32579,1523,May
276,My Ego Is Almost As Big As My PP,2022-04-30,116200,12899,801,Apr
277,Why Is It THIS HARD To Get Girls?,2022-04-29,194554,16765,711,Apr
278,Why You Should Quit Playing Video Games,2022-04-28,317323,21615,2661,Apr
279,STOP WASTING TIME,2022-04-27,283639,28525,863,Apr
280,Don't Compare. Compete!,2022-04-26,146252,15180,376,Apr
281,Same Guy Different Mindset,2022-04-25,633385,33693,234,Apr
282,Why are most people AFK?,2022-04-25,638171,37723,271,Apr
283,What If Your Boy Ends His Life Tonight?,2022-04-25,161940,19951,760,Apr
284,Why Is It So Easy To Stand Out These Days?,2022-04-24,421915,35176,1109,Apr
285,we have to stop Wheat Waffles,2022-04-24,1021547,50560,1716,Apr
286,@1STMAN,2022-04-23,816125,62793,364,Apr
287,Your Mother Wants You To Stay Weak,2022-04-23,272979,27997,1127,Apr
288,Amazing Friends Will Change Your Life. Here’s How To Get Them,2022-04-22,164821,15680,447,Apr
289,Improve Your Relationship With Your Parents,2022-04-21,97969,11491,397,Apr
290,Weak People Get Offended At Male Competition,2022-04-20,201642,22246,751,Apr
291,Is weed a drug?,2022-04-20,363143,25892,652,Apr
292,That Socrates quote,2022-04-20,385556,26887,227,Apr
293,Got bad grades?,2022-04-19,195812,12347,186,Apr
294,How To Stop Being Controlled By Your Phone,2022-04-19,346031,29500,608,Apr
295,Never let them stop you #shorts,2022-04-19,160206,9086,197,Apr
296,The Magic of Thinking Big #shorts,2022-04-19,126903,11145,99,Apr
297,8 Year Old Boys Are Watching Porn...,2022-04-18,309532,26520,1710,Apr
298,One book might save you 5 years #shorts,2022-04-18,221872,23253,227,Apr
299,How to find your purpose #shorts,2022-04-18,173577,11234,231,Apr
300,RED RED RED RED WHITE,2022-04-17,135435,12070,452,Apr
301,Why You Should Improve Your Social Skills,2022-04-16,273180,24076,667,Apr
302,Why you’ll never get girls if you’re under 6’0,2022-04-15,549451,37952,2641,Apr
303,Post the time you were at your lowest…,2022-04-15,216812,9117,438,Apr
304,Forget everything else and start getting good sleep,2022-04-14,256328,23469,772,Apr
305,I lied when I said I was busy,2022-04-14,229171,26676,255,Apr
306,STOP WASTING YOUR MONEY,2022-04-13,122079,12648,654,Apr
307,War,2022-04-13,159890,11210,185,Apr
308,Bodybuilder reacts to Bad TikTok Gym Advice,2022-04-12,437528,30483,910,Apr
309,Forget about Will Smith and focus on yourself,2022-04-12,170277,12902,305,Apr
310,Hiring 2 video editors!!! Apply now,2022-04-11,49776,4316,190,Apr
311,Self Improvement is beautiful and I wish that for you,2022-04-11,233982,24815,1129,Apr
312,7 April 2022,2022-04-11,52902,4531,87,Apr
313,gym bros on their way to Valhalla,2022-04-10,113757,9066,149,Apr
314,Stop being a coward and start disagreeing with me,2022-04-10,119812,12008,1014,Apr
315,Stfu and lift some weights,2022-04-10,167520,6644,148,Apr
316,Don't Abandon Your Friends!,2022-04-09,153747,14976,620,Apr
317,Show yourself before the pandemic VS you now,2022-04-09,527507,27707,336,Apr
318,The exercise that broke me,2022-04-08,159626,13997,624,Apr
319,"I’m hiring a thumbnail editor, apply now",2022-04-08,39679,3119,153,Apr
320,Just stay focused you understand?,2022-04-08,131548,11473,253,Apr
321,Do the hard work…,2022-04-07,215369,11082,152,Apr
322,Don’t Look At Me Like That You Hateful Woman,2022-04-07,105246,10877,518,Apr
323,Why your crush stopped liking you back,2022-04-06,197227,18480,677,Apr
324,Can you hold a woman's eye contact?,2022-04-05,541862,37237,1132,Apr
325,My YouTube Mastermind - An exclusive brotherhood for 5 YouTubers to grow together #shorts,2022-04-04,46575,3699,203,Apr
326,Inner Jeffery Outer Chad,2022-04-04,125148,12466,448,Apr
327,31 March 2022,2022-04-04,68196,4785,114,Apr
328,Would You Penetrate Yourself?,2022-04-03,189982,17986,831,Apr
329,Practice makes perfect #shorts,2022-04-03,73084,4727,150,Apr
330,"""I don't watch Hamza's videos anymore""",2022-04-02,120611,13861,562,Apr
331,Make it rain #shorts,2022-04-02,116571,7654,134,Apr
332,I Don't Care About Will Smith Slapping Chris Rock,2022-04-01,130846,14725,935,Apr
333,gym bros be like #shorts,2022-04-01,91273,5533,414,Apr
334,How Instant Gratification Is Destroying The Planet,2022-03-31,205304,19748,655,Mar
335,Rest day #shorts,2022-03-31,90414,5558,144,Mar
336,Why are Chads killing themselves??,2022-03-30,446491,34153,2810,Mar
337,Welcome To The Cult.,2022-03-29,358713,42809,1624,Mar
338,DO THIS To Control Your Mind In MINUTES! (Unlock Your Mind),2022-03-28,91284,10320,415,Mar
339,Runescape Green Dragon Guide 500k per Hour,2022-03-27,117599,12657,965,Mar
340,You Will NEVER BE LAZY Again! (Unleash Your Super Brain),2022-03-26,109418,11147,452,Mar
341,Instagram video editor winner! #shorts,2022-03-25,67086,3634,109,Mar
342,ONE HOUR OF *THIS* CAN CHANGE YOUR LIFE,2022-03-25,140059,13346,577,Mar
343,Here's why you Relapse,2022-03-24,470058,33042,741,Mar
344,But You Still Have Small Legs,2022-03-23,111319,11229,489,Mar
345,You Aren't Good Enough Yet.,2022-03-22,232294,21571,591,Mar
346,Domestic Abuse Against Men is FUNNY😡,2022-03-21,106539,11191,788,Mar
347,2 weeks can get you on the right path towards money and women,2022-03-20,255810,22192,705,Mar
348,Make Her Miss You,2022-03-19,283946,27152,652,Mar
349,Men and their podcasts #shorts,2022-03-19,148547,16924,342,Mar
350,If Your Girl is Low Quality👙🩲,2022-03-18,160956,14755,700,Mar
351,Jeffrey vs Adonis,2022-03-17,461563,39999,1233,Mar
352,The Spiderman Movies Give False Hope to Young Men,2022-03-16,155767,15896,885,Mar
353,I Scammed You. I'm Sorry😔,2022-03-15,108647,9759,502,Mar
354,She has bigger legs than me 🥲 #shorts,2022-03-15,138807,7796,178,Mar
355,Why the media presents men as idiots,2022-03-14,86520,8801,485,Mar
356,Making my friend tap out #shorts,2022-03-14,70983,4410,96,Mar
357,The best relationship advice no one ever told you,2022-03-13,102337,10222,533,Mar
